query	target	index	qName	tName	qNum	tNum	qSize	tSize	total_matches	qPercent	tPercent
Ectocarpus_siliculosus	Macrocystis_pyrifera	6	chr_07	scaffold_6	7	6	7722430	16623799	392669	0.0508478548850556	0.0236208943575413
Ectocarpus_siliculosus	Macrocystis_pyrifera	14	chr_22	scaffold_14	22	14	4515851	14129973	410982	0.0910087600321623	0.0290858305249416
Ectocarpus_siliculosus	Macrocystis_pyrifera	24	chr_17	scaffold_24	17	24	4797947	12004932	479840	0.100009441538225	0.0399702388984794
Ectocarpus_siliculosus	Macrocystis_pyrifera	17	chr_21	scaffold_17	21	17	7380119	13421046	680035	0.0921441781629808	0.050669299546399
Ectocarpus_siliculosus	Macrocystis_pyrifera	3	chr_12	scaffold_3	12	3	8336052	19989196	1585364	0.190181635143351	0.0793110438258747
Ectocarpus_siliculosus	Macrocystis_pyrifera	31	chr_03	scaffold_31	3	31	6528661	8866074	141519	0.0216765734964643	0.0159618563977697
Ectocarpus_siliculosus	Saccharina_japonica	2	chr_24	chr2	24	2	4987672	16908789	215603	0.0432271809373191	0.0127509427197891
Ectocarpus_siliculosus	Saccharina_japonica	11	chr_00	chr23	0	23	18946431	12984910	147283	0.00777365404597837	0.0113426277117054
Ectocarpus_siliculosus	Saccharina_japonica	11	chr_27	chr23	27	23	6449907	12984910	958355	0.148584312921101	0.0738052862900089
Ectocarpus_siliculosus	Saccharina_japonica	9	chr_12	chr9	12	9	8336052	14227764	1149369	0.137879298257736	0.0807835300051364
Ectocarpus_siliculosus	Saccharina_japonica	20	chr_28	chr20	28	20	3789020	9849821	169994	0.0448648991031982	0.017258587744894
Ectocarpus_siliculosus	Saccharina_japonica	3	chr_01	chr10	1	10	10318834	16686447	1385726	0.134290947988891	0.083045000532468
Ectocarpus_siliculosus	Saccharina_japonica	14	chr_26	chr21	26	21	6583348	11647543	604540	0.0918286561791964	0.051902791859193
Ectocarpus_siliculosus	Saccharina_japonica	6	chr_11	chr8	11	8	6289658	14917966	582244	0.0925716469798517	0.0390297175901862
Ectocarpus_siliculosus	Saccharina_japonica	24	chr_20	chr27	20	27	5156421	9374727	388156	0.0752762429599911	0.0414045123660668
Ectocarpus_siliculosus	Saccharina_japonica	26	chr_21	chr29	21	29	7380119	8662260	494477	0.0670012231510088	0.0570840635122936
Ectocarpus_siliculosus	Saccharina_japonica	23	chr_04	chr19	4	19	6511851	9498019	525642	0.0807208273039417	0.0553422771632695
Ectocarpus_siliculosus	Saccharina_japonica	13	chr_23	chr12	23	12	4839467	12184176	240155	0.0496242664739733	0.0197104014255868
Ectocarpus_siliculosus	Saccharina_japonica	22	chr_10	chr28	10	28	6500985	9554602	625161	0.0961640428335091	0.0654303549221621
Ectocarpus_siliculosus	Saccharina_japonica	8	chr_06	chr11	6	11	8757758	14233719	1038824	0.118617573127734	0.0729833151827713
Ectocarpus_siliculosus	Saccharina_japonica	1	chr_14	chr5	14	5	6560428	19970798	1025580	0.156328215171327	0.0513539819490438
Ectocarpus_siliculosus	Saccharina_japonica	1	chr_22	chr5	22	5	4515851	19970798	250352	0.0554384987458621	0.0125359036729529
Ectocarpus_siliculosus	Saccharina_japonica	15	chr_05	chr7	5	7	9103504	11384706	254034	0.027905079187091	0.022313619692946
Ectocarpus_siliculosus	Saccharina_japonica	21	chr_16	chr22	16	22	5337654	9818646	449383	0.0841911071792964	0.0457683269159515
Ectocarpus_siliculosus	Saccharina_japonica	5	chr_08	chr4	8	4	6697066	15129613	578886	0.0864387479532082	0.0382617850172374
Ectocarpus_siliculosus	Saccharina_japonica	12	chr_15	chr15	15	15	5398253	12422022	447493	0.0828958924303844	0.0360241674020542
Ectocarpus_siliculosus	Saccharina_japonica	16	chr_18	chr14	18	14	4926557	11359713	491395	0.0997441012049592	0.0432576949787376
Ectocarpus_siliculosus	Saccharina_japonica	25	chr_03	chr18	3	18	6528661	9356683	132514	0.0202972707573574	0.0141624975431999
Ectocarpus_siliculosus	Saccharina_japonica	17	chr_19	chr24	19	24	5970688	10563587	471136	0.0789081593277023	0.0446000018743633
Ectocarpus_siliculosus	Saccharina_japonica	18	chr_09	chr17	9	17	5613161	10022153	337806	0.0601810637535606	0.0337059312505008
Ectocarpus_siliculosus	Saccharina_japonica	31	chr_25	chr31	25	31	4450938	2672625	130249	0.0292632698995133	0.0487344838875637
Ectocarpus_siliculosus	Saccharina_japonica	0	chr_07	chr0	7	0	7722430	195301242	255197	0.0330462043683141	0.00130668395851779
Ectocarpus_siliculosus	Saccharina_japonica	0	chr_13	chr0	13	0	6936267	195301242	10411	0.00150095144837994	0.0000533073926892897
Ectocarpus_siliculosus	Saccharina_japonica	0	chr_02	chr0	2	0	6527791	195301242	253931	0.0388999892919366	0.00130020166487216
Ectocarpus_siliculosus	Saccharina_japonica	0	chr_17	chr0	17	0	4797947	195301242	322924	0.0673046200802135	0.00165346618737837
Ectocarpus_siliculosus	Undaria_pinnatifida	1	chr_08	JABAKD01_25	8	25	6697066	32303302	879293	0.131295256758706	0.0272199108314066
Ectocarpus_siliculosus	Undaria_pinnatifida	2	chr_05	JABAKD01_2	5	2	9103504	29174606	354008	0.0388870043886398	0.0121341141676429
Ectocarpus_siliculosus	Undaria_pinnatifida	2	chr_14	JABAKD01_2	14	2	6560428	29174606	1120208	0.170752274089434	0.0383966796329657
Ectocarpus_siliculosus	Undaria_pinnatifida	3	chr_13	JABAKD01_23	13	23	6936267	27543478	27575	0.00397548133599817	0.00100114444515685
Ectocarpus_siliculosus	Undaria_pinnatifida	4	chr_02	JABAKD01_16	2	16	6527791	26351695	469358	0.0719015054250358	0.0178113020813272
Ectocarpus_siliculosus	Undaria_pinnatifida	4	chr_11	JABAKD01_16	11	16	6289658	26351695	579597	0.0921507973883477	0.0219946762437862
Ectocarpus_siliculosus	Undaria_pinnatifida	4	chr_20	JABAKD01_16	20	16	5156421	26351695	416256	0.080725759203913	0.0157961755401313
Ectocarpus_siliculosus	Undaria_pinnatifida	5	chr_12	JABAKD01_9	12	9	8336052	21324605	1473053	0.17670871055027	0.0690776218363716
Ectocarpus_siliculosus	Undaria_pinnatifida	6	chr_06	JABAKD01_20	6	20	8757758	20368912	1487046	0.169797566911531	0.0730056666747836
Ectocarpus_siliculosus	Undaria_pinnatifida	8	chr_00	JABAKD01_10	0	10	18946431	19165106	225552	0.0119047223194701	0.0117688887293397
Ectocarpus_siliculosus	Undaria_pinnatifida	8	chr_27	JABAKD01_10	27	10	6449907	19165106	1324970	0.205424667363421	0.0691344989169379
Ectocarpus_siliculosus	Undaria_pinnatifida	10	chr_01	JABAKD01_30	1	30	10318834	16674838	1486877	0.144093509014681	0.0891689022705948
Ectocarpus_siliculosus	Undaria_pinnatifida	11	chr_26	JABAKD01_8	26	8	6583348	16550675	759916	0.115430021320459	0.0459145019765055
Ectocarpus_siliculosus	Undaria_pinnatifida	12	chr_16	JABAKD01_27	16	27	5337654	16510065	677094	0.126852358732882	0.0410109833001869
Ectocarpus_siliculosus	Undaria_pinnatifida	14	chr_18	JABAKD01_13	18	13	4926557	16043153	719210	0.145986334878496	0.0448297164528693
Ectocarpus_siliculosus	Undaria_pinnatifida	15	chr_07	JABAKD01_29	7	29	7722430	15779598	466166	0.0603651959292606	0.0295423242087663
Ectocarpus_siliculosus	Undaria_pinnatifida	16	chr_15	JABAKD01_19	15	19	5398253	15260588	598752	0.110915883342259	0.0392351854332218
Ectocarpus_siliculosus	Undaria_pinnatifida	17	chr_19	JABAKD01_12	19	12	5970688	15250518	675563	0.113146592151524	0.0442977084450508
Ectocarpus_siliculosus	Undaria_pinnatifida	18	chr_04	JABAKD01_28	4	28	6511851	15023589	849410	0.130440638153422	0.0565384210124492
Ectocarpus_siliculosus	Undaria_pinnatifida	19	chr_21	JABAKD01_11	21	11	7380119	14730894	782818	0.106071189367001	0.0531412418010747
Ectocarpus_siliculosus	Undaria_pinnatifida	20	chr_09	JABAKD01_5	9	5	5613161	14664429	549416	0.0978799646046141	0.037465897922108
Ectocarpus_siliculosus	Undaria_pinnatifida	22	chr_10	JABAKD01_22	10	22	6500985	14235460	937678	0.144236296499684	0.0658691745823458
Ectocarpus_siliculosus	Undaria_pinnatifida	23	chr_22	JABAKD01_4	22	4	4515851	12871420	436025	0.0965543371559425	0.0338754387627783
Ectocarpus_siliculosus	Undaria_pinnatifida	24	chr_17	JABAKD01_15	17	15	4797947	12713166	539706	0.112486861568083	0.0424525252010396
Ectocarpus_siliculosus	Undaria_pinnatifida	25	chr_28	JABAKD01_6	28	6	3789020	12665547	225416	0.0594919002802836	0.0177975732118005
Ectocarpus_siliculosus	Undaria_pinnatifida	26	chr_23	JABAKD01_14	23	14	4839467	12092743	371304	0.0767241516472785	0.030704696196719
Ectocarpus_siliculosus	Undaria_pinnatifida	27	chr_03	JABAKD01_18	3	18	6528661	11082490	231107	0.0353988359940882	0.0208533461343074
Ectocarpus_siliculosus	Undaria_pinnatifida	28	chr_24	JABAKD01_24	24	24	4987672	10450848	361605	0.0724997553969066	0.0346005415062969
Ectocarpus_siliculosus	Undaria_pinnatifida	30	chr_25	JABAKD01_3	25	3	4450938	6002170	159356	0.0358027903331837	0.0265497311805564
Macrocystis_pyrifera	Ectocarpus_siliculosus	27	scaffold_19	chr_25	19	25	12693160	4450938	306951	0.0241823942974011	0.0689632162928353
Macrocystis_pyrifera	Ectocarpus_siliculosus	27	contig_45	chr_25	45	25	2227607	4450938	30381	0.013638402105937	0.00682575223469749
Macrocystis_pyrifera	Ectocarpus_siliculosus	27	contig_125	chr_25	125	25	125001	4450938	15187	0.121495028039776	0.00341208976624702
Macrocystis_pyrifera	Ectocarpus_siliculosus	12	scaffold_8	chr_02	8	2	16295092	6527791	183010	0.0112309890610007	0.0280355176812493
Macrocystis_pyrifera	Ectocarpus_siliculosus	12	scaffold_27	chr_02	27	2	11304460	6527791	448347	0.0396610718247488	0.0686828055616364
Macrocystis_pyrifera	Ectocarpus_siliculosus	24	scaffold_12	chr_23	12	23	14415564	4839467	334045	0.023172523808295	0.0690251633082734
Macrocystis_pyrifera	Ectocarpus_siliculosus	20	scaffold_23	chr_16	23	16	12493549	5337654	620587	0.0496725950328446	0.116265872609952
Macrocystis_pyrifera	Ectocarpus_siliculosus	20	contig_54	chr_16	54	16	676291	5337654	13897	0.0205488465763998	0.00260357827614903
Macrocystis_pyrifera	Ectocarpus_siliculosus	18	scaffold_16	chr_09	16	9	13669674	5613161	431651	0.0315772709722266	0.0768998074347057
Macrocystis_pyrifera	Ectocarpus_siliculosus	18	contig_55	chr_09	55	9	642578	5613161	57268	0.0891222544189188	0.0102024509897364
Macrocystis_pyrifera	Ectocarpus_siliculosus	21	scaffold_15	chr_20	15	20	13941329	5156421	53617	0.0038459030699297	0.0103981036459203
Macrocystis_pyrifera	Ectocarpus_siliculosus	21	contig_36	chr_20	36	20	4927530	5156421	147972	0.0300296497433806	0.0286966483147904
Macrocystis_pyrifera	Ectocarpus_siliculosus	1	scaffold_13	chr_01	13	1	14333966	10318834	1104740	0.0770714818215698	0.107060545794224
Macrocystis_pyrifera	Ectocarpus_siliculosus	1	scaffold_33	chr_01	33	1	6037718	10318834	546169	0.0904595080459207	0.052929332907187
Macrocystis_pyrifera	Ectocarpus_siliculosus	1	contig_37	chr_01	37	1	3810307	10318834	253122	0.0664308676439982	0.0245300971020563
Macrocystis_pyrifera	Ectocarpus_siliculosus	14	scaffold_26	chr_10	26	10	11897536	6500985	782424	0.0657635328861371	0.120354684713163
Macrocystis_pyrifera	Ectocarpus_siliculosus	14	contig_46	chr_10	46	10	2100068	6500985	64156	0.0305494869689934	0.00986865836484779
Macrocystis_pyrifera	Ectocarpus_siliculosus	6	scaffold_17	chr_21	17	21	13421046	7380119	680233	0.0506840524948652	0.0921710069986676
Macrocystis_pyrifera	Ectocarpus_siliculosus	6	contig_59	chr_21	59	21	460845	7380119	23969	0.0520109798305287	0.00324777960897378
Macrocystis_pyrifera	Ectocarpus_siliculosus	6	contig_97	chr_21	97	21	206542	7380119	16632	0.0805259947129397	0.00225362219769085
Macrocystis_pyrifera	Ectocarpus_siliculosus	8	scaffold_1	chr_08	1	8	26510325	6697066	640046	0.0241432724796848	0.0955711053168656
Macrocystis_pyrifera	Ectocarpus_siliculosus	8	contig_53	chr_08	53	8	789299	6697066	56495	0.0715761707540488	0.00843578367004297
Macrocystis_pyrifera	Ectocarpus_siliculosus	8	contig_84	chr_08	84	8	245298	6697066	13178	0.0537224111081216	0.00196772736001109
Macrocystis_pyrifera	Ectocarpus_siliculosus	15	scaffold_28	chr_27	28	27	10916434	6449907	615565	0.0563888354017438	0.095437810188581
Macrocystis_pyrifera	Ectocarpus_siliculosus	15	scaffold_34	chr_27	34	27	4834388	6449907	284516	0.0588525372808306	0.0441116437802902
Macrocystis_pyrifera	Ectocarpus_siliculosus	15	contig_42	chr_27	42	27	2748383	6449907	341134	0.1241217108387	0.0528897548445272
Macrocystis_pyrifera	Ectocarpus_siliculosus	9	scaffold_30	chr_26	30	26	8948866	6583348	420664	0.0470075202824581	0.06389818675847
Macrocystis_pyrifera	Ectocarpus_siliculosus	9	contig_38	chr_26	38	26	3769213	6583348	167451	0.0444259849469903	0.0254355382701932
Macrocystis_pyrifera	Ectocarpus_siliculosus	9	contig_48	chr_26	48	26	1967957	6583348	146548	0.0744670742297723	0.0222604061033991
Macrocystis_pyrifera	Ectocarpus_siliculosus	9	contig_49	chr_26	49	26	1698273	6583348	84666	0.0498541753887626	0.0128606295763189
Macrocystis_pyrifera	Ectocarpus_siliculosus	9	contig_79	chr_26	79	26	265488	6583348	3686	0.0138838666907732	0.000559897486810662
Macrocystis_pyrifera	Ectocarpus_siliculosus	9	contig_169	chr_26	169	26	81042	6583348	4681	0.0577601737370746	0.000711036390602472
Macrocystis_pyrifera	Ectocarpus_siliculosus	7	contig_44	chr_13	44	13	2292919	6936267	2692	0.00117404932315533	0.000388105013835252
Macrocystis_pyrifera	Ectocarpus_siliculosus	7	contig_99	chr_13	99	13	197049	6936267	262	0.00132961852128151	0.00003777247905826
Macrocystis_pyrifera	Ectocarpus_siliculosus	7	contig_148	chr_13	148	13	106515	6936267	279	0.00261934938741022	0.000040223365104025
Macrocystis_pyrifera	Ectocarpus_siliculosus	7	contig_203	chr_13	203	13	53307	6936267	1890	0.0354550059091676	0.000272480860382105
Macrocystis_pyrifera	Ectocarpus_siliculosus	17	scaffold_10	chr_19	10	19	15677919	5970688	639512	0.04079061768338	0.10710859452043
Macrocystis_pyrifera	Ectocarpus_siliculosus	4	scaffold_3	chr_12	3	12	19989196	8336052	1585576	0.0793216495550897	0.190207066846512
Macrocystis_pyrifera	Ectocarpus_siliculosus	4	contig_219	chr_12	219	12	33307	8336052	5273	0.158315068904435	0.000632553635701889
Macrocystis_pyrifera	Ectocarpus_siliculosus	28	scaffold_21	chr_28	21	28	12554396	3789020	179727	0.01431586194987	0.0474336371937863
Macrocystis_pyrifera	Ectocarpus_siliculosus	16	scaffold_4	chr_11	4	11	19376333	6289658	710414	0.0366640065486075	0.11294954352049
Macrocystis_pyrifera	Ectocarpus_siliculosus	16	contig_58	chr_11	58	11	466603	6289658	7348	0.0157478627441315	0.00116826701865189
Macrocystis_pyrifera	Ectocarpus_siliculosus	16	contig_76	chr_11	76	11	287312	6289658	25554	0.0889416383583004	0.00406286001560021
Macrocystis_pyrifera	Ectocarpus_siliculosus	2	scaffold_11	chr_05	11	5	14897264	9103504	303581	0.0203783057076789	0.0333477087503889
Macrocystis_pyrifera	Ectocarpus_siliculosus	2	scaffold_29	chr_05	29	5	10186776	9103504	145063	0.0142403249075075	0.0159348532169591
Macrocystis_pyrifera	Ectocarpus_siliculosus	2	contig_39	chr_05	39	5	3675599	9103504	57650	0.0156845183601367	0.00633272638755363
Macrocystis_pyrifera	Ectocarpus_siliculosus	5	scaffold_6	chr_07	6	7	16623799	7722430	392669	0.0236208943575413	0.0508478548850556
Macrocystis_pyrifera	Ectocarpus_siliculosus	5	scaffold_18	chr_07	18	7	13054085	7722430	102856	0.00787921941675728	0.0133191236437235
Macrocystis_pyrifera	Ectocarpus_siliculosus	5	contig_52	chr_07	52	7	902999	7722430	27068	0.0299756699619822	0.00350511432282326
Macrocystis_pyrifera	Ectocarpus_siliculosus	5	contig_136	chr_07	136	7	118723	7722430	6955	0.0585817406905149	0.000900623249417606
Macrocystis_pyrifera	Ectocarpus_siliculosus	26	scaffold_14	chr_22	14	22	14129973	4515851	410982	0.0290858305249416	0.0910087600321623
Macrocystis_pyrifera	Ectocarpus_siliculosus	13	scaffold_9	chr_04	9	4	16050853	6511851	756685	0.0471429773856879	0.116201215291935
Macrocystis_pyrifera	Ectocarpus_siliculosus	19	scaffold_22	chr_15	22	15	12538685	5398253	355740	0.0283713962030309	0.0658990973561261
Macrocystis_pyrifera	Ectocarpus_siliculosus	19	contig_43	chr_15	43	15	2360338	5398253	151025	0.0639844801888543	0.0279766435548686
Macrocystis_pyrifera	Ectocarpus_siliculosus	19	contig_221	chr_15	221	15	21224	5398253	2402	0.113173765548436	0.000444958767215986
Macrocystis_pyrifera	Ectocarpus_siliculosus	19	contig_222	chr_15	222	15	21050	5398253	2406	0.114299287410926	0.000445699747677628
Macrocystis_pyrifera	Ectocarpus_siliculosus	3	scaffold_2	chr_06	2	6	22011584	8757758	18953	0.000861046619816184	0.00216413835595823
Macrocystis_pyrifera	Ectocarpus_siliculosus	3	scaffold_5	chr_06	5	6	18839236	8757758	1435272	0.0761852550708532	0.163885779899376
Macrocystis_pyrifera	Ectocarpus_siliculosus	3	contig_85	chr_06	85	6	244658	8757758	11403	0.0466079179916455	0.00130204556919705
Macrocystis_pyrifera	Ectocarpus_siliculosus	10	scaffold_7	chr_14	7	14	16461834	6560428	1314830	0.0798714165141017	0.200418326365292
Macrocystis_pyrifera	Ectocarpus_siliculosus	23	scaffold_32	chr_18	32	18	6047430	4926557	141009	0.0233171777102009	0.0286222203457709
Macrocystis_pyrifera	Ectocarpus_siliculosus	23	contig_41	chr_18	41	18	2810005	4926557	159468	0.0567500769571584	0.0323690561176903
Macrocystis_pyrifera	Ectocarpus_siliculosus	22	scaffold_25	chr_24	25	24	11971141	4987672	362726	0.0303000357275885	0.0727245095507483
Macrocystis_pyrifera	Ectocarpus_siliculosus	22	contig_51	chr_24	51	24	1020647	4987672	14033	0.0137491218805326	0.00281353705696766
Macrocystis_pyrifera	Ectocarpus_siliculosus	25	scaffold_24	chr_17	24	17	12004932	4797947	479840	0.0399702388984794	0.100009441538225
Macrocystis_pyrifera	Ectocarpus_siliculosus	11	scaffold_20	chr_03	20	3	12594944	6528661	44875	0.00356293763592756	0.0068735380807795
Macrocystis_pyrifera	Ectocarpus_siliculosus	11	scaffold_31	chr_03	31	3	8866074	6528661	141519	0.0159618563977697	0.0216765734964643
Macrocystis_pyrifera	Ectocarpus_siliculosus	11	contig_40	chr_03	40	3	3292531	6528661	71057	0.0215812698498511	0.010883855050829
Macrocystis_pyrifera	Ectocarpus_siliculosus	11	contig_47	chr_03	47	3	2030002	6528661	40433	0.0199177143667839	0.00619315354251048
Macrocystis_pyrifera	Ectocarpus_siliculosus	11	contig_50	chr_03	50	3	1691400	6528661	53751	0.0317789996452643	0.00823308179119731
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_65	chr_00	65	0	382254	18946431	2813	0.00735898120098155	0.000148471234503216
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_67	chr_00	67	0	360258	18946431	7293	0.0202438252585647	0.000384927377615341
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_121	chr_00	121	0	130794	18946431	2727	0.020849580255975	0.000143932121041689
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_128	chr_00	128	0	125001	18946431	5329	0.0426316589467284	0.000281266693447436
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_154	chr_00	154	0	98311	18946431	2807	0.0285522474595925	0.000148154552168691
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_159	chr_00	159	0	93499	18946431	1053	0.0112621525363908	0.0000555777497091669
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_176	chr_00	176	0	75422	18946431	1176	0.0155922675081541	0.0000620697375669328
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_183	chr_00	183	0	72795	18946431	1616	0.0221993268768459	0.0000852931087654451
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_215	chr_00	215	0	41477	18946431	1185	0.0285700508715674	0.0000625447610687205
Macrocystis_pyrifera	Ectocarpus_siliculosus	0	contig_216	chr_00	216	0	35549	18946431	716	0.0201412135362457	0.00003779075858667
Macrocystis_pyrifera	Saccharina_japonica	2	scaffold_2	chr2	2	2	22011584	16908789	300666	0.0136594440454626	0.0177816400689606
Macrocystis_pyrifera	Saccharina_japonica	2	contig_44	chr2	44	2	2292919	16908789	93620	0.0408300511269696	0.00553676552472208
Macrocystis_pyrifera	Saccharina_japonica	2	contig_51	chr2	51	2	1020647	16908789	76332	0.0747878551546225	0.00451433866730492
Macrocystis_pyrifera	Saccharina_japonica	2	contig_84	chr2	84	2	245298	16908789	37722	0.153780299880146	0.00223091080029445
Macrocystis_pyrifera	Saccharina_japonica	2	contig_129	chr2	129	2	125001	16908789	11583	0.0926632586939305	0.000685028360103139
Macrocystis_pyrifera	Saccharina_japonica	2	contig_203	chr2	203	2	53307	16908789	3834	0.0719230119871687	0.000226745983996843
Macrocystis_pyrifera	Saccharina_japonica	11	scaffold_28	chr23	28	23	10916434	12984910	2387957	0.218748814860237	0.183902468326696
Macrocystis_pyrifera	Saccharina_japonica	11	scaffold_34	chr23	34	23	4834388	12984910	1038842	0.214885937992565	0.080003789013555
Macrocystis_pyrifera	Saccharina_japonica	11	contig_42	chr23	42	23	2748383	12984910	697797	0.253893653104389	0.0537390709677618
Macrocystis_pyrifera	Saccharina_japonica	19	scaffold_18	chr16	18	16	13054085	9954262	1283397	0.098313822837832	0.128929397277267
Macrocystis_pyrifera	Saccharina_japonica	19	contig_136	chr16	136	16	118723	9954262	29518	0.248629161998939	0.00296536297718505
Macrocystis_pyrifera	Saccharina_japonica	9	scaffold_3	chr9	3	9	19989196	14227764	4347849	0.217509948874382	0.30558905812607
Macrocystis_pyrifera	Saccharina_japonica	20	scaffold_21	chr20	21	20	12554396	9849821	1538843	0.122574037014604	0.156230554849677
Macrocystis_pyrifera	Saccharina_japonica	7	scaffold_29	chr1	29	1	10186776	14669917	863225	0.0847397645732075	0.058843209542358
Macrocystis_pyrifera	Saccharina_japonica	7	contig_39	chr1	39	1	3675599	14669917	635764	0.172968814062687	0.043337941175809
Macrocystis_pyrifera	Saccharina_japonica	7	contig_165	chr1	165	1	84187	14669917	19440	0.230914511741718	0.00132516087173499
Macrocystis_pyrifera	Saccharina_japonica	3	scaffold_13	chr10	13	10	14333966	16686447	2908731	0.202925763881399	0.174316977125208
Macrocystis_pyrifera	Saccharina_japonica	3	scaffold_33	chr10	33	10	6037718	16686447	1515964	0.25108227976199	0.0908500173823703
Macrocystis_pyrifera	Saccharina_japonica	3	contig_37	chr10	37	10	3810307	16686447	1122143	0.294501991571808	0.067248767817379
Macrocystis_pyrifera	Saccharina_japonica	14	scaffold_30	chr21	30	21	8948866	11647543	1344363	0.150227190797136	0.115420307956794
Macrocystis_pyrifera	Saccharina_japonica	14	contig_38	chr21	38	21	3769213	11647543	586442	0.155587386544618	0.0503489877650591
Macrocystis_pyrifera	Saccharina_japonica	14	contig_48	chr21	48	21	1967957	11647543	378949	0.192559593527704	0.0325346727631742
Macrocystis_pyrifera	Saccharina_japonica	14	contig_49	chr21	49	21	1698273	11647543	342225	0.201513537576114	0.0293817331260335
Macrocystis_pyrifera	Saccharina_japonica	14	contig_169	chr21	169	21	81042	11647543	31717	0.391364971249476	0.00272306356799885
Macrocystis_pyrifera	Saccharina_japonica	6	scaffold_4	chr8	4	8	19376333	14917966	2957547	0.15263708566528	0.198254038117529
Macrocystis_pyrifera	Saccharina_japonica	6	contig_58	chr8	58	8	466603	14917966	42971	0.09209327844013	0.00288048652209021
Macrocystis_pyrifera	Saccharina_japonica	6	contig_76	chr8	76	8	287312	14917966	111827	0.389217992983238	0.00749612916398925
Macrocystis_pyrifera	Saccharina_japonica	6	contig_208	chr8	208	8	50001	14917966	24280	0.485590288194236	0.00162756772605595
